name,latitude,longitude,color,family,subgroup,country
Beja [bej],18,36,#EAEDE9,Afro-Asiatic ,Cushitic,Sudan
Tamazight [tzm],33,-4,#619EBD,Afro-Asiatic ,Berber,Morocco
Riff [rif],34,-3.75,#EAEDE9,Afro-Asiatic ,Berber,Morocco
Kabyle [kab],36.5,5,#619EBD,Afro-Asiatic ,Berber,Algeria
Tashelhiyt [shi],31,-5,#619EBD,Afro-Asiatic ,Berber,Morocco
Zenaga [zen],16.5,-16,#C2A56B,Afro-Asiatic ,Berber,Mauritania
Buduma [bdm],13.6,14,#E4D8BE,Afro-Asiatic ,Chadic,Chad
Ga'anda [gqa],10.33,12.58,#E4D8BE,Afro-Asiatic ,Chadic,Nigeria
Gude [gde],10.05,14.3,#EAEDE9,Afro-Asiatic ,Chadic,Cameroon
Margi [mrt],11,13,#095D91,Afro-Asiatic ,Chadic,Nigeria
Mofu [mif],10.5,14.2,#C2A56B,Afro-Asiatic ,Chadic,Cameroon
Musgu [mug],11,15,#D2BD91,Afro-Asiatic ,Chadic,Cameroon
Tera [ttr],11,11.83,#E4D8BE,Afro-Asiatic ,Chadic,Nigeria
Awngi [awn],10.83,36.67,#E4D8BE,Afro-Asiatic ,Cushitic,Ethiopia
Bilin [byn],15.9,38.3,#D2BD91,Afro-Asiatic ,Cushitic,Eritrea
Qimant [ahg],12.9,37,#E4D8BE,Afro-Asiatic ,Cushitic,Ethiopia
Kera [ker],9.83,15.08,#E4D8BE,Afro-Asiatic ,Chadic,Chad
Lele [lln],9.08,15.58,#EAEDE9,Afro-Asiatic ,Chadic,Chad
Oromo [hae],6.5,40,#EAEDE9,Afro-Asiatic ,Cushitic,Ethiopia
Rendille [rel],2,37.5,#EAEDE9,Afro-Asiatic ,Cushitic,Kenya
Somali [som],7,47.5,#EAEDE9,Afro-Asiatic ,Cushitic,Somalia
Dizi [mdx],6.17,36.5,#E4D8BE,Afro-Asiatic ,Omotic,Ethiopia
Hamer [amf],5,36.5,#EAEDE9,Afro-Asiatic ,Omotic,Ethiopia
Ometo [wal],6.6,37.75,#EAEDE9,Afro-Asiatic ,Omotic,Ethiopia
Zayse [zay],5.8,37.3,#EAEDE9,Afro-Asiatic ,Omotic,Ethiopia
Amharic [amh],10,38,#D2BD91,Afro-Asiatic ,Semitic,Ethiopia
Arabic_Egyptian [arz],30,30,#E4D8BE,Afro-Asiatic ,Semitic,Egypt
Arabic_Gulf [afb],24,54,#EAEDE9,Afro-Asiatic ,Semitic,United Arab Emirates
Arabic [arb],30,42,#619EBD,Afro-Asiatic ,Semitic,Saudi Arabia
Arabic_Moroccan [ary],34,-7,#619EBD,Afro-Asiatic ,Semitic,Morocco
Arabic_Syrian [apc],33,37,#EAEDE9,Afro-Asiatic ,Semitic,Syria
Arabic_Tunisian [aeb],36,10,#619EBD,Afro-Asiatic ,Semitic,Tunisia
Chaha [sgw],8.2,38,#C2A56B,Afro-Asiatic ,Semitic,Ethiopia
Hebrew [heb],31.75,35.17,#EAEDE9,Afro-Asiatic ,Semitic,Israel
Tigré [tig],16.5,38.5,#E4D8BE,Afro-Asiatic ,Semitic,Eritrea
Tigrinya [tir],14.5,38.5,#D2BD91,Afro-Asiatic ,Semitic,Ethiopia
Iraqw [irk],-3.5,35,#D2BD91,Afro-Asiatic ,Cushitic,Tanzania
Angas [anc],9.75,8.75,#E4D8BE,Afro-Asiatic ,Chadic,Nigeria
Goemai [ank],8.67,9.75,#D2BD91,Afro-Asiatic ,Chadic,Nigeria
Hausa [hau],12,7,#EAEDE9,Afro-Asiatic ,Chadic,Nigeria
Kanakuru [kna],10,12,#E4D8BE,Afro-Asiatic ,Chadic,Nigeria
Miya [mkf],11,10,#095D91,Afro-Asiatic ,Chadic,Nigeria
Ngizim [ngi],12.08,10.92,#EAEDE9,Afro-Asiatic ,Chadic,Nigeria
Pa'a [pqa],11,9.25,#D2BD91,Afro-Asiatic ,Chadic,Nigeria
Pero [pip],9.58,11,#EAEDE9,Afro-Asiatic ,Chadic,Nigeria
Ainu [ain],43.5,142,#EAEDE9,Ainu ,,Japan
Qawésqar [alc],-50,-75,#E4D8BE,Alaculufan ,,Chile
Blackfoot [bla],50,-112.67,#619EBD,Algic ,Algonquian,Canada
Cree_Woods [cwd],57.5,-100.5,#B3D1DF,Algic ,Algonquian,Canada
Cree_Plains [crk],54,-116,#B3D1DF,Algic ,Algonquian,Canada
Massachusetts [wam],42.5,-71,#619EBD,Algic ,Algonquian,USA
Menominee [mez],45.5,-88.33,#E4D8BE,Algic ,Algonquian,USA
Montagnais [moe],52,-65,#B3D1DF,Algic ,Algonquian,Canada
Ojibwe [ojg],49,-92.5,#B3D1DF,Algic ,Algonquian,Canada
Passamaquoddy-Maliseet [pqm],45,-67,#E4D8BE,Algic ,Algonquian,USA
Wiyot [wiy],40.83,-124.17,#B3D1DF,Algic ,Wiyot,USA
Yurok [yur],41.33,-124,#EAEDE9,Algic ,Yurok,USA
Buryat [bxm],52,108,#D2BD91,Mongolic ,Core Mongolic,Russia
Dagur [dta],48,124,#D2BD91,Mongolic ,Core Mongolic,China
Kalmyk [xal],45,47,#A77D2B,Mongolic ,Core Mongolic,Russia
