name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#65907A,Tuu,!Kwi,Botswana
/Xam [xam],-30.34,21.82,#638270,Tuu,!Kwi,South Africa
||Ani [hnh],-19.3,22.5,#978187,Khoe,Khoe,Botswana
||Gana [gnk],-19,22.5,#94797B,Khoe,Khoe,Botswana
Aari [aiw],6,36.6,#C78A83,Afro-Asiatic,Omotic,Ethiopia
Abau [aau],-4,141.167,#748DC5,Sepik,Abau,Papua New Guinea
Abipon [axb],-26,-61,#5E4952,Guaicuruan,Southern,Argentina
Abkhaz [abk],43,41.03,#9F5271,North-west Caucasus,Abaza-Abkhaz,Georgia
Abma [app],-15.75,168.083,#5A6F7E,Oceanic,Southern Oceanic,Vanuatu
Abui [abz],-8.417,124.6,#4D5BBD,Timor-Alor-Pantar,Alor-Pantar,Indonesia
Abun [kgr],-0.833,132,#32B7A7,West Papuan,Birds Head,Indonesia
Acehnese [ace],5.333,96.167,#1AA266,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Achumawi [acv],41.5,-121,#974E7D,Palaihnihan,,USA
Adyghe [ady],44.1,39.08,#D0578C,North-west Caucasus,Circassian,Russia
Adynyamathanha [adt],-31,139.5,#B47782,Pama-Nyungan,Yura,Australia
Adzera [azr],-6.417,146.25,#427EA2,Oceanic,Western Oceanic,Papua New Guinea
Agarabi [agd],-6.25,145.917,#DB44B1,Trans New Guinea,Kainantu,Papua New Guinea
Aghem [agq],6.39,10.12,#3D8A61,Niger-Kongo,Bantoid,Cameroon
Agta [agt],17.967,121.833,#3D8E4B,Malayo-Polynesian,Philippines,Philippines
Aguaruna [agr],-5.25,-78,#B54990,Jivaroan,,Peru
Agutaynen [agn],11.15,120.95,#51655F,Malayo-Polynesian,Philippines,Philippines
Ai-cham_Diwo [aih],25.8,107,#17ED9A,Tai-Kadai,South,China
Ainu [ain],43.5,142,#6C5990,Ainu,,Japan
Aka [hru],27.2,92.9,#B58E99,Tibeto-Burman,Hrusish,India
Akan [aka],6.5,-1.25,#4D67AB,Niger-Kongo,Kwa,Ghana
Akha [ahk],20.3,99.6,#69BDB2,Tibeto-Burman,Lolo-Burmese,Thailand
Alabama [akz],32.7,-86.1,#A527AA,Muskogean,Eastern,USA
Alamblak [amp],-4.667,143.25,#945D7A,Sepik,Sepik Hill,Papua New Guinea
Albanian Tosk [als],40.5,20,#8D8A26,Indo-European,Albanian,Albania
Aleut [ale],54,-166,#D25580,Eskimo-Aleut,Aleut,USA
Alune [alp],-3.167,128.333,#3649A7,Malayo-Polynesian,Central Maluku,Indonesia
Alyawarr [aly],-24.6,134.5,#A78B95,Pama-Nyungan,Arandic,Australia
Ama [amm],-4.168,141.671,#AA38AC,Left May,,Papua New Guinea
Amam [wer-2],-7.92,147.2,#A657B9,Trans New Guinea,Goilala,Papua New Guinea
Amanab [amn],-3.5,141.167,#A17EAB,Trans New Guinea,Border,Papua New Guinea
Amarasi [aaz],-10.08,124.33,#31677D,Malayo-Polynesian,Timoric,Indonesia
Ambae_West [omb],-15.5,167.75,#445D81,Oceanic,Southern Oceanic,Vanuatu
Ambai [amk],-1.917,136.733,#34689A,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Ambonese Malay [abs],-3.7,128.2,#2DBA7B,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Ambulas [abt],-3.75,143.083,#BE8A93,Sepik,Ndu,Papua New Guinea
Amdo [adx],36,94,#B3BEC3,Tibeto-Burman,Bodic,China
Amele [aey],-5.25,145.75,#6A649C,Trans New Guinea,Madang,Papua New Guinea
Amharic [amh],10,38,#B6643E,Afro-Asiatic,Semitic,Ethiopia
Amis [ami],23.333,121.333,#537E47,Austronesian,East Formosan,Taiwan
Amoy [nan],24.5,118,#51DD86,Tibeto-Burman,Sinitic,China
Anejom [aty],-20.25,169.833,#35617F,Oceanic,Southern Oceanic,Vanuatu
Anem [anz],-5.667,149,#417598,Anem,,Papua New Guinea
Angaatiha [agm],-7.22,146.25,#BC3CB2,Trans New Guinea,Angan,Papua New Guinea
Angas [anc],9.75,8.75,#30958A,Afro-Asiatic,Chadic,Nigeria
Anguthimri [xxx-3],-12.333,141.833,#B59B88,Pama-Nyungan,North Cape York,Australia
Anindilyagwa [aoi],-14,136.5,#8C4465,Anindilyagwa,,Australia
Anong [nun],27.2,98.8,#8BC099,Tibeto-Burman,Nungish,China
Ao [njo],27,95,#A1B2C2,Tibeto-Burman,Kuki-Chin-Naga,India
Apalai [apy],0,-54,#81259D,Cariban,Apalai,Brazil
Apatani [apt],27.4,93.8,#B2B68E,Tibeto-Burman,Tani,India
Apurinã [apu],-9,-67,#6D5168,Arawak,South-Southwest,Brazil
Arabana [ard],-28,137,#C59D78,Pama-Nyungan,Karnic,Australia
Arabic [arb],30,42,#7B4C15,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Abha [acw-4],18.22,42.51,#674516,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Afghanistan [acm-3],36.7,67.12,#9D6735,Afro-Asiatic,Semitic,Afghanistan
Arabic_Basra [acm],30.5,47.825,#866D41,Afro-Asiatic,Semitic,Iraq
Arabic_Bukhara [abh],39.77,64.43,#B07634,Afro-Asiatic,Semitic,Uzbekistan
Arabic_Egyptian [arz],30,30,#524E2D,Afro-Asiatic,Semitic,Egypt
Arabic_Gulf [afb],24,54,#606427,Afro-Asiatic,Semitic,United Arab Emirates
Arabic_Harb [acw-5],25.81,42.87,#6E600B,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Khuzestan [acm-2],31.33,48.69,#6A550D,Afro-Asiatic,Semitic,Iran
Arabic_Moroccan [ary],34,-7,#5F4F1E,Afro-Asiatic,Semitic,Morocco
Arabic_Sudanese [apd],15.5,32.56,#645036,Afro-Asiatic,Semitic,Sudan
Arabic_Syrian [apc],33,37,#6A5714,Afro-Asiatic,Semitic,Syria
Arabic_Tunisian [aeb],36,10,#855425,Afro-Asiatic,Semitic,Tunisia
Arammba [stk],-8.25,141.5,#9A887C,South New Guinea,,Papua New Guinea
Arandai [jbj],-2.17,133,#A648A1,Trans New Guinea,South Birds Head,Indonesia
Araona  [aro],-12.333,-67.75,#A94C97,Tacanan,Araona-Tacana,Bolivia
Archi [aqc],42.07,46.86,#D66A81,Nakh-Daghestanian,Lezgic,Russia
Arguni [agf],-2.667,132.5,#3F8BB8,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Arizona Tewa [tew],35.8,-110.4,#904FB6,Kiowa-Tanoan,Tewa-Tiwa,USA
Armenian [hye],40,45,#BD8C3A,Indo-European,Armenian,Armenia
Arop-Lokep [apr],-5.333,147.083,#416E99,Oceanic,Western Oceanic,Papua New Guinea
Arrernte_Central [are],-22.85,133.7,#B287A1,Pama-Nyungan,Arandic,Australia
Arrernte_Mparntwe [aer],-24,136,#A48D91,Pama-Nyungan,Arandic,Australia
