name,latitude,longitude,color,family,subgroup,country
Beja [bej],18,36,#508179,Afro-Asiatic,Cushitic,Sudan
Tamazight [tzm],33,-4,#9F3D77,Afro-Asiatic,Berber,Morocco
Riff [rif],34,-3.75,#AA6B8B,Afro-Asiatic,Berber,Morocco
Kabyle [kab],36.5,5,#A2488E,Afro-Asiatic,Berber,Algeria
Tashelhiyt [shi],31,-5,#A15881,Afro-Asiatic,Berber,Morocco
Zenaga [zen],16.5,-16,#A34C74,Afro-Asiatic,Berber,Mauritania
Buduma [bdm],13.6,14,#B37CC1,Afro-Asiatic,Chadic,Chad
Ga'anda [gqa],10.33,12.58,#AB7691,Afro-Asiatic,Chadic,Nigeria
Gude [gde],10.05,14.3,#D85C4F,Afro-Asiatic,Chadic,Cameroon
Margi [mrt],11,13,#C5A48E,Afro-Asiatic,Chadic,Nigeria
Mofu [mif],10.5,14.2,#A6779D,Afro-Asiatic,Chadic,Cameroon
Musgu [mug],11,15,#A58FA5,Afro-Asiatic,Chadic,Cameroon
Tera [ttr],11,11.83,#C9A288,Afro-Asiatic,Chadic,Nigeria
Awngi [awn],10.83,36.67,#40906E,Afro-Asiatic,Cushitic,Ethiopia
Bilin [byn],15.9,38.3,#597081,Afro-Asiatic,Cushitic,Eritrea
Qimant [ahg],12.9,37,#3A856A,Afro-Asiatic,Cushitic,Ethiopia
Kera [ker],9.83,15.08,#AE9D9B,Afro-Asiatic,Chadic,Chad
Lele [lln],9.08,15.58,#B393AA,Afro-Asiatic,Chadic,Chad
Oromo [hae],6.5,40,#758E67,Afro-Asiatic,Cushitic,Ethiopia
Rendille [rel],2,37.5,#6F6E84,Afro-Asiatic,Cushitic,Kenya
Somali [som],7,47.5,#8D8683,Afro-Asiatic,Cushitic,Somalia
Dizi [mdx],6.17,36.5,#5C9477,Afro-Asiatic,Omotic,Ethiopia
Hamer [amf],5,36.5,#56987B,Afro-Asiatic,Omotic,Ethiopia
Ometo [wal],6.6,37.75,#479868,Afro-Asiatic,Omotic,Ethiopia
Zayse [zay],5.8,37.3,#459264,Afro-Asiatic,Omotic,Ethiopia
Amharic [amh],10,38,#5D5B63,Afro-Asiatic,Semitic,Ethiopia
Arabic_Egyptian [arz],30,30,#B15C9C,Afro-Asiatic,Semitic,Egypt
Arabic_Gulf [afb],24,54,#A56892,Afro-Asiatic,Semitic,United Arab Emirates
Arabic [arb],30,42,#9F3C74,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Moroccan [ary],34,-7,#B53D7B,Afro-Asiatic,Semitic,Morocco
Arabic_Syrian [apc],33,37,#BA3E78,Afro-Asiatic,Semitic,Syria
Arabic_Tunisian [aeb],36,10,#A23F76,Afro-Asiatic,Semitic,Tunisia
Chaha [sgw],8.2,38,#5B6C94,Afro-Asiatic,Semitic,Ethiopia
Hebrew [heb],31.75,35.17,#A67071,Afro-Asiatic,Semitic,Israel
Tigré [tig],16.5,38.5,#826D9A,Afro-Asiatic,Semitic,Eritrea
Tigrinya [tir],14.5,38.5,#61728C,Afro-Asiatic,Semitic,Ethiopia
