language,latitude,longitude,color,family,subgroup,country
Beja [bej],18,36,#337557,Afro-Asiatic,Cushitic,Sudan
Tamazight [tzm],33,-4,#934F4A,Afro-Asiatic,Berber,Morocco
Riff [rif],34,-3.75,#B15C44,Afro-Asiatic,Berber,Morocco
Kabyle [kab],36.5,5,#97493B,Afro-Asiatic,Berber,Algeria
Tashelhiyt [shi],31,-5,#A64E5A,Afro-Asiatic,Berber,Morocco
Zenaga [zen],16.5,-16,#924A4E,Afro-Asiatic,Berber,Mauritania
Buduma [bdm],13.6,14,#B64C9C,Afro-Asiatic,Chadic,Chad
Ga'anda [gqa],10.33,12.58,#B34F77,Afro-Asiatic,Chadic,Nigeria
Gude [gde],10.05,14.3,#C1975B,Afro-Asiatic,Chadic,Cameroon
Margi [mrt],11,13,#C970A2,Afro-Asiatic,Chadic,Nigeria
Mofu [mif],10.5,14.2,#B56299,Afro-Asiatic,Chadic,Cameroon
Musgu [mug],11,15,#9E698E,Afro-Asiatic,Chadic,Cameroon
Tera [ttr],11,11.83,#CFA488,Afro-Asiatic,Chadic,Nigeria
Awngi [awn],10.83,36.67,#068464,Afro-Asiatic,Cushitic,Ethiopia
Bilin [byn],15.9,38.3,#41567A,Afro-Asiatic,Cushitic,Eritrea
Qimant [ahg],12.9,37,#127668,Afro-Asiatic,Cushitic,Ethiopia
Kera [ker],9.83,15.08,#AC7A8B,Afro-Asiatic,Chadic,Chad
Lele [lln],9.08,15.58,#A06599,Afro-Asiatic,Chadic,Chad
Oromo [hae],6.5,40,#6C8C71,Afro-Asiatic,Cushitic,Ethiopia
Rendille [rel],2,37.5,#65458F,Afro-Asiatic,Cushitic,Kenya
Somali [som],7,47.5,#766571,Afro-Asiatic,Cushitic,Somalia
Dizi [mdx],6.17,36.5,#478467,Afro-Asiatic,Omotic,Ethiopia
Hamer [amf],5,36.5,#417990,Afro-Asiatic,Omotic,Ethiopia
Ometo [wal],6.6,37.75,#1F9278,Afro-Asiatic,Omotic,Ethiopia
Zayse [zay],5.8,37.3,#1C8471,Afro-Asiatic,Omotic,Ethiopia
Amharic [amh],10,38,#3A6738,Afro-Asiatic,Semitic,Ethiopia
Arabic_Egyptian [arz],30,30,#A94947,Afro-Asiatic,Semitic,Egypt
