name,latitude,longitude,color,family,subgroup,country
1,18,36,#337557,Afro-Asiatic,Cushitic,Sudan
2,33,-4,#934F4A,Afro-Asiatic,Berber,Morocco
3,34,-3.75,#B15C44,Afro-Asiatic,Berber,Morocco
4,36.5,5,#97493B,Afro-Asiatic,Berber,Algeria
5,31,-5,#A64E5A,Afro-Asiatic,Berber,Morocco
6,16.5,-16,#924A4E,Afro-Asiatic,Berber,Mauritania
7,13.6,14,#B64C9C,Afro-Asiatic,Chadic,Chad
8,10.33,12.58,#B34F77,Afro-Asiatic,Chadic,Nigeria
9,10.05,14.3,#C1975B,Afro-Asiatic,Chadic,Cameroon
10,11,13,#C970A2,Afro-Asiatic,Chadic,Nigeria
11,10.5,14.2,#B56299,Afro-Asiatic,Chadic,Cameroon
12,11,15,#9E698E,Afro-Asiatic,Chadic,Cameroon
13,11,11.83,#CFA488,Afro-Asiatic,Chadic,Nigeria
14,10.83,36.67,#068464,Afro-Asiatic,Cushitic,Ethiopia
15,15.9,38.3,#41567A,Afro-Asiatic,Cushitic,Eritrea
16,12.9,37,#127668,Afro-Asiatic,Cushitic,Ethiopia
17,9.83,15.08,#AC7A8B,Afro-Asiatic,Chadic,Chad
18,9.08,15.58,#A06599,Afro-Asiatic,Chadic,Chad
19,6.5,40,#6C8C71,Afro-Asiatic,Cushitic,Ethiopia
20,2,37.5,#65458F,Afro-Asiatic,Cushitic,Kenya
21,7,47.5,#766571,Afro-Asiatic,Cushitic,Somalia
22,6.17,36.5,#478467,Afro-Asiatic,Omotic,Ethiopia
23,5,36.5,#417990,Afro-Asiatic,Omotic,Ethiopia
24,6.6,37.75,#1F9278,Afro-Asiatic,Omotic,Ethiopia
25,5.8,37.3,#1C8471,Afro-Asiatic,Omotic,Ethiopia
26,10,38,#3A6738,Afro-Asiatic,Semitic,Ethiopia
27,30,30,#A94947,Afro-Asiatic,Semitic,Egypt
28,24,54,#A05638,Afro-Asiatic,Semitic,United Arab Emirates
29,30,42,#7B4A23,Afro-Asiatic,Semitic,Saudi Arabia
30,34,-7,#9C4632,Afro-Asiatic,Semitic,Morocco
31,33,37,#904A25,Afro-Asiatic,Semitic,Syria
32,36,10,#82433D,Afro-Asiatic,Semitic,Tunisia
33,8.2,38,#504965,Afro-Asiatic,Semitic,Ethiopia
34,31.75,35.17,#917F1C,Afro-Asiatic,Semitic,Israel
35,16.5,38.5,#625B36,Afro-Asiatic,Semitic,Eritrea
36,14.5,38.5,#495A4B,Afro-Asiatic,Semitic,Ethiopia
37,-3.5,35,#817272,Afro-Asiatic,Cushitic,Tanzania
38,9.75,8.75,#D580A1,Afro-Asiatic,Chadic,Nigeria
