name,latitude,longitude,color,family,subgroup,country
Beja [bej],18,36,#756E83,Afro-Asiatic,Cushitic,Sudan
Tamazight [tzm],33,-4,#5677A3,Afro-Asiatic,Berber,Morocco
Riff [rif],34,-3.75,#5F6289,Afro-Asiatic,Berber,Morocco
Kabyle [kab],36.5,5,#5D4E94,Afro-Asiatic,Berber,Algeria
Tashelhiyt [shi],31,-5,#5775A0,Afro-Asiatic,Berber,Morocco
Zenaga [zen],16.5,-16,#6A6682,Afro-Asiatic,Berber,Mauritania
Buduma [bdm],13.6,14,#9C7D8F,Afro-Asiatic,Chadic,Chad
Ga'anda [gqa],10.33,12.58,#886B8D,Afro-Asiatic,Chadic,Nigeria
Gude [gde],10.05,14.3,#816D91,Afro-Asiatic,Chadic,Cameroon
Margi [mrt],11,13,#939A8E,Afro-Asiatic,Chadic,Nigeria
Mofu [mif],10.5,14.2,#96909F,Afro-Asiatic,Chadic,Cameroon
Musgu [mug],11,15,#937C88,Afro-Asiatic,Chadic,Cameroon
Tera [ttr],11,11.83,#865F87,Afro-Asiatic,Chadic,Nigeria
Awngi [awn],10.83,36.67,#97819C,Afro-Asiatic,Cushitic,Ethiopia
Bilin [byn],15.9,38.3,#5C9F83,Afro-Asiatic,Cushitic,Eritrea
Qimant [ahg],12.9,37,#657583,Afro-Asiatic,Cushitic,Ethiopia
Kera [ker],9.83,15.08,#84897D,Afro-Asiatic,Chadic,Chad
Lele [lln],9.08,15.58,#8B877D,Afro-Asiatic,Chadic,Chad
Oromo [hae],6.5,40,#735E91,Afro-Asiatic,Cushitic,Ethiopia
Rendille [rel],2,37.5,#7E7277,Afro-Asiatic,Cushitic,Kenya
Somali [som],7,47.5,#8B6D8D,Afro-Asiatic,Cushitic,Somalia
Dizi [mdx],6.17,36.5,#8C64A6,Afro-Asiatic,Omotic,Ethiopia
Hamer [amf],5,36.5,#87A688,Afro-Asiatic,Omotic,Ethiopia
Ometo [wal],6.6,37.75,#566184,Afro-Asiatic,Omotic,Ethiopia
Zayse [zay],5.8,37.3,#5A6089,Afro-Asiatic,Omotic,Ethiopia
Amharic [amh],10,38,#6D617F,Afro-Asiatic,Semitic,Ethiopia
Arabic_Egyptian [arz],30,30,#634C7D,Afro-Asiatic,Semitic,Egypt
Arabic_Gulf [afb],24,54,#6B3D76,Afro-Asiatic,Semitic,United Arab Emirates
Arabic [arb],30,42,#597A89,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Moroccan [ary],34,-7,#5C588D,Afro-Asiatic,Semitic,Morocco
Arabic_Syrian [apc],33,37,#6A4164,Afro-Asiatic,Semitic,Syria
Arabic_Tunisian [aeb],36,10,#7B2E5C,Afro-Asiatic,Semitic,Tunisia
Chaha [sgw],8.2,38,#5C5090,Afro-Asiatic,Semitic,Ethiopia
Hebrew [heb],31.75,35.17,#5B747C,Afro-Asiatic,Semitic,Israel
Tigré [tig],16.5,38.5,#617389,Afro-Asiatic,Semitic,Eritrea
Tigrinya [tir],14.5,38.5,#64708C,Afro-Asiatic,Semitic,Ethiopia
Iraqw [irk],-3.5,35,#876685,Afro-Asiatic,Cushitic,Tanzania
Angas [anc],9.75,8.75,#B3836E,Afro-Asiatic,Chadic,Nigeria
Goemai [ank],8.67,9.75,#8F7F7C,Afro-Asiatic,Chadic,Nigeria
Hausa [hau],12,7,#89689D,Afro-Asiatic,Chadic,Nigeria
Kanakuru [kna],10,12,#9A6675,Afro-Asiatic,Chadic,Nigeria
Miya [mkf],11,10,#8A7CA8,Afro-Asiatic,Chadic,Nigeria
Ngizim [ngi],12.08,10.92,#964885,Afro-Asiatic,Chadic,Nigeria
Pa'a [pqa],11,9.25,#8E7DA5,Afro-Asiatic,Chadic,Nigeria
Pero [pip],9.58,11,#969D80,Afro-Asiatic,Chadic,Nigeria
Ainu [ain],43.5,142,#6A6B9E,Ainu,,Japan
Qawésqar [alc],-50,-75,#797F7C,Alaculufan,,Chile
Blackfoot [bla],50,-112.67,#4F7EA0,Algic,Algonquian,Canada
Cree_Woods [cwd],58,-102,#566D93,Algic,Algonquian,Canada
Cree_Plains [crk],54,-116,#508090,Algic,Algonquian,Canada
Massachusetts [wam],42.5,-71,#577891,Algic,Algonquian,USA
Menominee [mez],45.5,-88.33,#75517E,Algic,Algonquian,USA
Montagnais [moe],52,-65,#51608F,Algic,Algonquian,Canada
Ojibwe [ojg],49,-92.5,#6A5189,Algic,Algonquian,Canada
Passamaquoddy-Maliseet [pqm],45,-67,#66699D,Algic,Algonquian,USA
Wiyot [wiy],40.83,-124.17,#705AA9,Algic,Wiyot,USA
Yurok [yur],41.33,-124,#5A6487,Algic,Yurok,USA
Buryat [bxm],52,108,#65626B,Mongolic,Eastern,Russia
Dagur [dta],48,124,#8E6344,Mongolic,Eastern,China
Kalmyk [xal],45,47,#787973,Mongolic,Eastern,Russia
Khalkha [khk],47,108,#6E6384,Mongolic,Eastern,Mongolia
Mongguor [mjg],36,102,#997856,Mongolic,Eastern,China
Moghol [mhj],35,62,#6B9273,Mongolic,Western,Afghanistan
Mongolian [mon],50,104,#6C815C,Mongolic,Eastern,Mongolia
Ordos [mvf],39,109,#68586A,Mongolic,Eastern,China
Even [eve],68,130,#6EA66D,Tungusic,North,Russia
Evenki [evn],57,105,#736D5F,Tungusic,North,Russia
Manchu [mnc],45,125,#7D5E79,Tungusic,South,China
Nanai [gld],49.5,137,#858647,Tungusic,South,Russia
Orok [oaa],49.5,143.5,#6A8956,Tungusic,South,Russia
Udihe [ude],47.667,136.25,#73805F,Tungusic,Transitional Tungusic,Russia
Azeri [azb],40.67,47.75,#695B81,Turkic,South-west,Azerbaijan
Azerbaijani [azj],40.5,48.5,#666780,Turkic,South-west,Azerbaijan
Bashkir [bak],53,58,#688480,Turkic,North-west,Russia
Chuvash [chv],55.5,47.5,#6A667C,Turkic,Oghur,Russia
Turkish_Crimean [crh],45,34.083,#6E6481,Turkic,North-west,Ukraine
Karachay-Balkar [krc],44,42,#714E64,Turkic,North-west,Russia
Karakalpak [kaa],43,60,#676D81,Turkic,North-west,Uzbekistan
Khakas [kjh],53,90,#64757F,Turkic,North-east,Russia
Khalaj [klj],35,50,#617182,Turkic,South-west,Iran
Kyrgyz [kir],42,75,#625068,Turkic,North-west,Kyrgystan
Tatar [tat],56,49.5,#6D5763,Turkic,North-west,Russia
Turkish [tur],40,30,#82444F,Turkic,South-west,Turkey
Turkmen [tuk],40,58,#675C62,Turkic,South-west,Turkmenistan
Tuva [tyv],52,95,#714C69,Turkic,North-east,Russia
Uighur [uig],40,80,#695F6B,Turkic,South-east,China
Uzbek [uzn],39,66,#57807A,Turkic,South-east,Uzbekistan
Yakut [sah],62,130,#636B58,Turkic,North-east,Russia
Jarawa [anq],11.167,92.5,#6A6755,Andaman,,India
Onge [oon],10.75,92.5,#6BA069,Andaman,,India
Andoké [ano],0,-72,#77539E,Andoké,,Colombia
Anem [anz],-5.667,149,#6A8765,Anem,,Papua New Guinea
Jarawara [jap],-8.1,-67,#4D6A8E,Arawá,,Brazil
Paumarí [pad],-7,-64.5,#537FA5,Arawá,,Brazil
Mapudungun [arn],-36,-67,#67A26E,Araucanian,,Chile
Amuesha [ame],-10,-73,#527387,Arawak,South-Southwest,Peru
Apurinã [apu],-9,-67,#645288,Arawak,South-Southwest,Brazil
Arawak [arw],-8,-37.3,#547F9D,Arawak,North,Brazil
Barí [mot],9,-73.5,#6B66B8,Chibchan,Core Chibchan,Venezuela
Baure [brg],-15,-64,#52789D,Arawak,South-Southwest,Bolivia
Campa [cni],-12,-74,#568193,Arawak,South-Southwest,Peru
Garifuna [cab],15.85,-85,#5C7E8F,Arawak,North,Honduras
Guajira [guc],12,-72,#588B8C,Arawak,North,Colombia
