name,latitude,longitude,color,family,subgroup,country
!Xoon [nmn],-24,21.5,#B89652,Tuu,Hua,Botswana
’Weenhayek [mtp],-21.99,-63.6,#7DB0C9,Matacoan,Mataguayo II,Bolivia
||Ana [gnk],-22.2,22.4,#E4D8BE,Khoe,Khoe,Botswana
||Ani [hnh],-19.3,22.5,#EAEDE9,Khoe,Khoe,Botswana
||Gana [gnk-2],-19,22.5,#E9E0CD,Khoe,Khoe,Botswana
|Xam [xam],-30.34,21.82,#C4A86E,Tuu,!Kwi,South Africa
A-Hmao [hmd],25.75,106.08,#814500,Hmong-Mien,Hmongic,China
Aari [aiw],6,36.6,#E6ECEC,Afro-Asiatic,Omotic,Ethiopia
Aashing [adi-10],28.99,94.9,#DCCBA7,Tibeto-Burman,Macro-Tani,India
Abau [aau],-4,141.167,#BA9A59,Sepik,Abau,Papua New Guinea
Abawiri [flh],-3.05,139.21,#A27622,Lakes Plains,Eastern Lakes Plains,Indonesia-Papua
Abaza [abq],44.34,41.67,#01417F,Northwest Caucasus,Abaza-Abkhaz,Russia
Abellen [abp],15.41,120.2,#EDEAE0,Malayo-Polynesian,Philippines,Philippines
Abenaki_Western [abe],44,-72.25,#3C86AC,Algic,Algonquian,USA
Abinomn [bsa],-3,138.8,#8EBAD0,Abinomn,,Indonesia-Papua
Abipon [axb],-26,-61,#E2EBEC,Guaicuruan,Southern Guaicuruan,Argentina
Abkhaz [abk],43,41.03,#0B5F92,Northwest Caucasus,Abaza-Abkhaz,Abkhazia
Abruzzo [nap],42.66,13.7,#B89652,Indo-European,Romance,Italy
Abui [abz],-8.417,124.6,#D8C6A0,Timor-Alor-Pantar,Alor-Pantar,Indonesia-NTT
Abun [kgr],-0.833,132,#874E01,West Papuan,Birds Head,Indonesia-Papua
Acehnese [ace],5.333,96.167,#D8C6A0,Malayo-Polynesian,Malayo-Sumbawan,Indonesia-Sumatra
Achagua [aca],4.002,-72.814,#BDD7E3,Arawak,Northern Maipuran,Colombia
